"href","question","completation_rate","level"
"https://leetcode.com/problems/n-repeated-element-in-size-2n-array?envType=daily-question&envId=2026-01-02","961. N-Repeated Element in Size 2N Array","79.2%","Easy"
"https://leetcode.com/problems/two-sum","1. Two Sum","56.8%","Easy"
"https://leetcode.com/problems/add-two-numbers","2. Add Two Numbers","47.6%","Med."
"https://leetcode.com/problems/longest-substring-without-repeating-characters","3. Longest Substring Without Repeating Characters","38.1%","Med."
"https://leetcode.com/problems/median-of-two-sorted-arrays","4. Median of Two Sorted Arrays","45.5%","Hard"
"https://leetcode.com/problems/longest-palindromic-substring","5. Longest Palindromic Substring","37.0%","Med."
"https://leetcode.com/problems/zigzag-conversion","6. Zigzag Conversion","53.1%","Med."
"https://leetcode.com/problems/reverse-integer","7. Reverse Integer","31.2%","Med."
"https://leetcode.com/problems/string-to-integer-atoi","8. String to Integer (atoi)","20.3%","Med."
"https://leetcode.com/problems/palindrome-number","9. Palindrome Number","60.0%","Easy"
"https://leetcode.com/problems/regular-expression-matching","10. Regular Expression Matching","30.2%","Hard"
"https://leetcode.com/problems/container-with-most-water","11. Container With Most Water","59.2%","Med."
"https://leetcode.com/problems/integer-to-roman","12. Integer to Roman","70.1%","Med."
"https://leetcode.com/problems/roman-to-integer","13. Roman to Integer","66.0%","Easy"
"https://leetcode.com/problems/longest-common-prefix","14. Longest Common Prefix","46.7%","Easy"
"https://leetcode.com/problems/3sum","15. 3Sum","38.2%","Med."
"https://leetcode.com/problems/3sum-closest","16. 3Sum Closest","47.7%","Med."
"https://leetcode.com/problems/letter-combinations-of-a-phone-number","17. Letter Combinations of a Phone Number","65.1%","Med."
"https://leetcode.com/problems/4sum","18. 4Sum","39.6%","Med."
"https://leetcode.com/problems/remove-nth-node-from-end-of-list","19. Remove Nth Node From End of List","50.6%","Med."
"https://leetcode.com/problems/valid-parentheses","20. Valid Parentheses","43.4%","Easy"
"https://leetcode.com/problems/merge-two-sorted-lists","21. Merge Two Sorted Lists","67.7%","Easy"
"https://leetcode.com/problems/generate-parentheses","22. Generate Parentheses","78.0%","Med."
"https://leetcode.com/problems/merge-k-sorted-lists","23. Merge k Sorted Lists","58.4%","Hard"
"https://leetcode.com/problems/swap-nodes-in-pairs","24. Swap Nodes in Pairs","68.6%","Med."
"https://leetcode.com/problems/reverse-nodes-in-k-group","25. Reverse Nodes in k-Group","64.9%","Hard"
"https://leetcode.com/problems/remove-duplicates-from-sorted-array","26. Remove Duplicates from Sorted Array","61.8%","Easy"
"https://leetcode.com/problems/remove-element","27. Remove Element","61.0%","Easy"
"https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string","28. Find the Index of the First Occurrence in a String","46.0%","Easy"
"https://leetcode.com/problems/divide-two-integers","29. Divide Two Integers","19.2%","Med."
"https://leetcode.com/problems/substring-with-concatenation-of-all-words","30. Substring with Concatenation of All Words","33.7%","Hard"
"https://leetcode.com/problems/next-permutation","31. Next Permutation","44.4%","Med."
"https://leetcode.com/problems/longest-valid-parentheses","32. Longest Valid Parentheses","37.7%","Hard"
"https://leetcode.com/problems/search-in-rotated-sorted-array","33. Search in Rotated Sorted Array","43.8%","Med."
"https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array","34. Find First and Last Position of Element in Sorted Array","48.0%","Med."
"https://leetcode.com/problems/search-insert-position","35. Search Insert Position","50.3%","Easy"
"https://leetcode.com/problems/valid-sudoku","36. Valid Sudoku","63.9%","Med."
"https://leetcode.com/problems/sudoku-solver","37. Sudoku Solver","65.3%","Hard"
"https://leetcode.com/problems/count-and-say","38. Count and Say","62.0%","Med."
"https://leetcode.com/problems/combination-sum","39. Combination Sum","75.8%","Med."
"https://leetcode.com/problems/combination-sum-ii","40. Combination Sum II","58.7%","Med."
"https://leetcode.com/problems/first-missing-positive","41. First Missing Positive","42.1%","Hard"
"https://leetcode.com/problems/trapping-rain-water","42. Trapping Rain Water","66.4%","Hard"
"https://leetcode.com/problems/multiply-strings","43. Multiply Strings","43.3%","Med."
"https://leetcode.com/problems/wildcard-matching","44. Wildcard Matching","31.1%","Hard"
"https://leetcode.com/problems/jump-game-ii","45. Jump Game II","42.3%","Med."
"https://leetcode.com/problems/permutations","46. Permutations","81.4%","Med."
"https://leetcode.com/problems/permutations-ii","47. Permutations II","62.7%","Med."
"https://leetcode.com/problems/rotate-image","48. Rotate Image","79.0%","Med."
"https://leetcode.com/problems/group-anagrams","49. Group Anagrams","71.9%","Med."
"https://leetcode.com/problems/powx-n","50. Pow(x, n)","38.0%","Med."
"https://leetcode.com/problems/n-queens","51. N-Queens","74.6%","Hard"
"https://leetcode.com/problems/n-queens-ii","52. N-Queens II","77.9%","Hard"
"https://leetcode.com/problems/maximum-subarray","53. Maximum Subarray","52.8%","Med."
"https://leetcode.com/problems/spiral-matrix","54. Spiral Matrix","55.7%","Med."
"https://leetcode.com/problems/jump-game","55. Jump Game","40.3%","Med."
"https://leetcode.com/problems/merge-intervals","56. Merge Intervals","50.7%","Med."
"https://leetcode.com/problems/insert-interval","57. Insert Interval","44.5%","Med."
"https://leetcode.com/problems/length-of-last-word","58. Length of Last Word","57.9%","Easy"
"https://leetcode.com/problems/spiral-matrix-ii","59. Spiral Matrix II","74.4%","Med."
"https://leetcode.com/problems/permutation-sequence","60. Permutation Sequence","51.7%","Hard"
"https://leetcode.com/problems/rotate-list","61. Rotate List","40.9%","Med."
"https://leetcode.com/problems/unique-paths","62. Unique Paths","66.4%","Med."
"https://leetcode.com/problems/unique-paths-ii","63. Unique Paths II","43.9%","Med."
"https://leetcode.com/problems/minimum-path-sum","64. Minimum Path Sum","67.6%","Med."
"https://leetcode.com/problems/valid-number","65. Valid Number","22.4%","Hard"
"https://leetcode.com/problems/plus-one","66. Plus One","49.1%","Easy"
"https://leetcode.com/problems/add-binary","67. Add Binary","56.6%","Easy"
"https://leetcode.com/problems/text-justification","68. Text Justification","50.0%","Hard"
"https://leetcode.com/problems/sqrtx","69. Sqrt(x)","41.2%","Easy"
"https://leetcode.com/problems/climbing-stairs","70. Climbing Stairs","53.8%","Easy"
"https://leetcode.com/problems/simplify-path","71. Simplify Path","49.6%","Med."
"https://leetcode.com/problems/edit-distance","72. Edit Distance","59.9%","Med."
"https://leetcode.com/problems/set-matrix-zeroes","73. Set Matrix Zeroes","62.1%","Med."
"https://leetcode.com/problems/search-a-2d-matrix","74. Search a 2D Matrix","53.3%","Med."
"https://leetcode.com/problems/sort-colors","75. Sort Colors","68.8%","Med."
"https://leetcode.com/problems/minimum-window-substring","76. Minimum Window Substring","46.6%","Hard"
"https://leetcode.com/problems/combinations","77. Combinations","73.9%","Med."
"https://leetcode.com/problems/subsets","78. Subsets","81.8%","Med."
"https://leetcode.com/problems/word-search","79. Word Search","46.5%","Med."
"https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii","80. Remove Duplicates from Sorted Array II","64.0%","Med."
"https://leetcode.com/problems/search-in-rotated-sorted-array-ii","81. Search in Rotated Sorted Array II","39.5%","Med."
"https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii","82. Remove Duplicates from Sorted List II","51.0%","Med."
"https://leetcode.com/problems/remove-duplicates-from-sorted-list","83. Remove Duplicates from Sorted List","55.9%","Easy"
"https://leetcode.com/problems/largest-rectangle-in-histogram","84. Largest Rectangle in Histogram","48.9%","Hard"
"https://leetcode.com/problems/maximal-rectangle","85. Maximal Rectangle","55.6%","Hard"
"https://leetcode.com/problems/partition-list","86. Partition List","60.3%","Med."
"https://leetcode.com/problems/scramble-string","87. Scramble String","43.6%","Hard"
"https://leetcode.com/problems/merge-sorted-array","88. Merge Sorted Array","54.0%","Easy"
